,Type, Floor, Area, Structure, Inarea, Architectural_type, Orientation, Building_structure, Situation, Ratio, Elevator, Years, Price, PerPrice, Region, No
123,2室1厅1厨1卫,高楼层 (共33层),95.11㎡,平层,75.49㎡,板楼,南,框架结构,精装,两梯四户,有,70年,120万,12617元/平米,安宁区 莫高大道 ,
124,2室2厅1厨1卫,高楼层 (共8层),91.82㎡,平层,79.08㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,105万,11436元/平米,城关区 城关区 ,
125,2室2厅1厨1卫,中楼层 (共6层),86.44㎡,平层,74.93㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,174.5万,20188元/平米,城关区 大润发 ,
126,2室1厅1厨1卫,低楼层 (共28层),72㎡,平层,暂无数据,板塔结合,东北,钢混结构,简装,一梯八户,无,70年,160万,22223元/平米,城关区 火车站 ,
127,1室1厅1厨1卫,中楼层 (共8层),45.24㎡,平层,2.96㎡,暂无数据,东 西,未知结构,其他,一梯三户,暂无数据,70年,75万,16579元/平米,城关区 西关南关 ,
128,2室2厅1厨1卫,中楼层 (共8层),81.5㎡,平层,81.5㎡,板楼,东 西,框架结构,简装,一梯三户,无,70年,98万,12025元/平米,城关区 东部 ,
129,2室2厅1厨1卫,高楼层 (共28层),75.46㎡,平层,暂无数据,板楼,东 北,框架结构,简装,两梯八户,有,70年,161万,21336元/平米,城关区 五泉广场 ,
130,3室0厅0厨0卫,低楼层 (共5层),44.8㎡,平层,暂无数据,塔楼,西南,砖混结构,简装,一梯三户,无,70年,125万,27902元/平米,城关区 兰大盘旋路 ,
131,2室2厅1厨1卫,高楼层 (共27层),101.2㎡,平层,暂无数据,板楼,东北 南,框架结构,简装,两梯六户,有,70年,128万,12649元/平米,城关区 雁滩高新区 ,
132,2室2厅1厨2卫,高楼层 (共7层),108㎡,平层,105㎡,板楼,南 北,框架结构,简装,一梯两户,无,70年,116万,10741元/平米,城关区 大润发 ,
133,1室1厅1厨1卫,高楼层 (共32层),74.75㎡,平层,暂无数据,板楼,东南,框架结构,简装,一梯五户,无,70年,130万,17392元/平米,城关区 北面滩 ,
134,3室2厅1厨1卫,中楼层 (共30层),100㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,100万,10000元/平米,城关区 碧桂园 ,
135,4室2厅1厨1卫,低楼层 (共18层),148.35㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,70年,143万,9640元/平米,城关区 碧桂园 ,
