房屋户型	所在楼层	建筑面积	户型结构	套内面积	建筑类型	房屋朝向	建筑结构	装修情况	梯户比例	配备电梯	产权年限	房屋总价	每平米售价	房屋地区
2室2厅1厨1卫	低楼层 (共33层)	72.41㎡	平层	暂无数据	板楼	南	钢混结构	简装	一梯六户	无	70年	126万	17401元/平米	安宁区 费家营十子 	
3室0厅1厨1卫	低楼层 (共17层)	76.4㎡	平层	暂无数据	塔楼	东北	框架结构	简装	两梯六户	有	70年	140万	18325元/平米	城关区 东方红广场 	
2室2厅1厨1卫	低楼层 (共31层)	90.33㎡	平层	暂无数据	板楼	西南	框架结构	精装	三梯六户	有	70年	168万	18599元/平米	城关区 兰大盘旋路 	
2室2厅1厨1卫	高楼层 (共7层)	76.63㎡	平层	暂无数据	板楼	南 北	混合结构	简装	一梯两户	无	70年	170万	22185元/平米	城关区 兰大盘旋路 	
2室1厅1厨1卫	低楼层 (共8层)	83.2㎡	平层	73.77㎡	板楼	东 西	钢混结构	精装	一梯两户	无	70年	95万	11419元/平米	城关区 火车站 	
2室2厅1厨1卫	高楼层 (共12层)	99.08㎡	平层	84.66㎡	板楼	南 北	框架结构	精装	一梯四户	无	70年	122万	12314元/平米	城关区 东部 	
3室2厅1厨1卫	中楼层 (共8层)	91.04㎡	平层	80.69㎡	板楼	东 西	框架结构	简装	一梯两户	无	70年	106万	11644元/平米	城关区 雁滩高新区 	
2室2厅1厨1卫	中楼层 (共8层)	80.79㎡	平层	72.11㎡	板楼	东 西	框架结构	精装	一梯三户	无	70年	94万	11636元/平米	城关区 东湖宾馆 	
2室2厅1厨1卫	中楼层 (共34层)	81.45㎡	平层	64.64㎡	板楼	南	钢混结构	精装	一梯四户	无	70年	120万	14733元/平米	安宁区 莫高大道 	
2室2厅1厨1卫	中楼层 (共5层)	75.67㎡	平层	暂无数据	板楼	西	框架结构	简装	一梯四户	无	70年	82.7万	10930元/平米	安宁区 费家营十子 	
2室1厅1厨1卫	中楼层 (共8层)	76.38㎡	平层	68.11㎡	板楼	南	框架结构	简装	一梯四户	无	70年	73万	9558元/平米	城关区 东湖宾馆 	
2室2厅1厨2卫	低楼层 (共6层)	100.55㎡	平层	87.71㎡	板楼	南 北	框架结构	精装	一梯两户	无	70年	140万	13924元/平米	城关区 北面滩 	
2室1厅1厨1卫	中楼层 (共8层)	77.8㎡	平层	暂无数据	板楼	东 西	钢混结构	精装	一梯两户	无	70年	108万	13882元/平米	城关区 东方红广场 	
2室1厅1厨1卫	高楼层 (共8层)	58.74㎡	平层	52.03㎡	板楼	南	框架结构	精装	一梯三户	无	70年	71万	12088元/平米	城关区 东部 	
2室1厅1厨1卫	中楼层 (共10层)	74.93㎡	平层	暂无数据	板楼	东 西	框架结构	简装	一梯三户	有	70年	95万	12679元/平米	城关区 东部 	
2室1厅1厨1卫	高楼层 (共33层)	95.11㎡	平层	75.49㎡	板楼	南	框架结构	精装	两梯四户	有	70年	120万	12617元/平米	安宁区 莫高大道 	
2室2厅1厨1卫	高楼层 (共8层)	91.82㎡	平层	79.08㎡	板楼	南 北	框架结构	精装	一梯两户	无	70年	105万	11436元/平米	城关区 城关区 	
2室1厅1厨1卫	低楼层 (共28层)	72㎡	平层	暂无数据	板塔结合	东北	钢混结构	简装	一梯八户	无	70年	160万	22223元/平米	城关区 火车站 	
1室1厅1厨1卫	中楼层 (共8层)	45.24㎡	平层	2.96㎡	暂无数据	东 西	未知结构	其他	一梯三户	暂无数据	70年	75万	16579元/平米	城关区 西关南关 	
